text
哈工大运动会，仙气飘飘 
#遇见哈工大# 【震撼发布！哈工大2022年招生宣传片《何以为大》】你知道的哈工大是什么样的？是百年底蕴还是硬核实力？你不知道的哈工大又是什么样的？是浪漫天际还是充满乐趣？一个更加美好的哈工大，超乎你的想象、满足你的期待！来吧！这里是你栖息的家园，这里是你成长的乐土，和哈工大一起成就不一样的你！ 哈尔滨工业大学的微博视频
【#哈工大科学园萌宠出没# 邀你来偶遇！】近几天，哈尔滨工业大学科学园的一片树林里，突然冒出很多形态各异、个性鲜明的小动物。有的害羞，总喜欢躲在大树背后用圆滚滚的眼睛好奇地盯着这个世界；有的活泼，遇到行人就忍不住跳出绿叶打个招呼……原来这些“萌宠”是师生用环保颜料，根据树木的纹理一笔一笔勾勒出来的动物彩绘。经由师生的巧手装扮，老树披新衣、旧貌改新颜，绿色的校园更具色彩，更有活力。来欣赏一下师生们的创意作品吧↓↓↓（记者 周慧颖）
是谁拍毕业照忘记拿学士帽🎓于是只能扔花💐扔小  昨天和神仙摄影小吴同学打卡了学校好多地方🥳校训石🪨 哈工大星 🌟很喜欢的电机楼的爬山虎墙🍃曾经每日奔赴上课的正心楼🏢和大学四年待了最久的图书馆🏫我❤️HIT   哈尔滨·哈尔滨工业大学 
【黑龙江招商工作推介暨哈尔滨工业大学校友企业家创新创业大会在哈工大举行】6月5日，黑龙江招商工作推介暨哈尔滨工业大学校友企业家创新创业大会在我校举行。黑龙江省委副书记、省长胡昌升向哈工大全球校友企业家发出邀约，希望哈工大校友会发挥优势，吸引更多校友和企业来考察布局、来投资发展。（来源：黑龙江政务） 哈尔滨工业大学的微博视频
深圳南山租房【位置】：西丽｜西丽湖【户型】：大单间【装修】：电梯园区公寓【说明】：山景房，附近近九祥岭，西丽湖，北大清华研究生院，哈工大，西丽-大学城-西丽湖工作首选！ 老包租房的微博视频 
#冲刺吧高考生# “胸有鲲鹏志，御风可冲天！” “化压力为动力，仰望星空，脚踏实地！”“稳定心态，保持进步！” #距2022高考还剩2天# ，清华、北航、天大、哈工大、中大、南开等高校招办主任组团祝福考生！祝所有考生，考出优异成绩，金榜题名，梦想成真！#高考加油# 中国教育电视台的微博视频 
【刚刚，“神十四”飞天！航天梦圆路上，哈工大从未缺席！】北京时间2022年6月5日10时44分，搭载神舟十四号载人飞船的长征二号F遥十四运载火箭在酒泉卫星发射中心点火发射，顺利将陈冬、刘洋、蔡旭哲3名航天员送入太空。飞行乘组状态良好，发射取得圆满成功。自1992年载人航天工程实施以来，哈工大持续参与神舟、天宫、天和、天舟等系列研究，数百项科技成果助力载人航天。特别是在中国空间站在轨建设关键技术验证阶段发射任务中，哈工大提供了有力技术支撑，曾获“中国载人航天工程突出贡献集体奖”等多个奖项。刚刚，“神十四”飞天！航天梦圆路上，哈工大从未缺席！
哈尔滨校园#神州十四龙江在行动#自1992年载人航天工程实施以来，哈工大@哈尔滨工业大学 持续参与神舟、天宫、天和、天舟等系列研究。数百项科技成果助力载人航天，特别是在中国空间站在轨建设，关键技术验证阶段发射任务中哈工大提供了有力技术支撑。曾获“中国载人航天工程突出贡献集体奖”等多个奖项。（来源:哈尔滨工业大学公众号）
聚餐快乐！叁杯精酿哈工大店nice！未来会再次相聚的！ 
#端午踏青# 之暴走太阳岛之参观哈工大中心之聚餐之偶遇#姜贞羽# 之好homie带的礼物之御弟落凡尘[摇摇马][摇摇马][摇摇马][我最粽意你] 
哈工大运动会，仙气飘飘 
#遇见哈工大# 【震撼发布！哈工大2022年招生宣传片《何以为大》】你知道的哈工大是什么样的？是百年底蕴还是硬核实力？你不知道的哈工大又是什么样的？是浪漫天际还是充满乐趣？一个更加美好的哈工大，超乎你的想象、满足你的期待！来吧！这里是你栖息的家园，这里是你成长的乐土，和哈工大一起成就不一样的你！ 哈尔滨工业大学的微博视频
【#哈工大科学园萌宠出没# 邀你来偶遇！】近几天，哈尔滨工业大学科学园的一片树林里，突然冒出很多形态各异、个性鲜明的小动物。有的害羞，总喜欢躲在大树背后用圆滚滚的眼睛好奇地盯着这个世界；有的活泼，遇到行人就忍不住跳出绿叶打个招呼……原来这些“萌宠”是师生用环保颜料，根据树木的纹理一笔一笔勾勒出来的动物彩绘。经由师生的巧手装扮，老树披新衣、旧貌改新颜，绿色的校园更具色彩，更有活力。来欣赏一下师生们的创意作品吧↓↓↓（记者 周慧颖）
是谁拍毕业照忘记拿学士帽🎓于是只能扔花💐扔小  昨天和神仙摄影小吴同学打卡了学校好多地方🥳校训石🪨 哈工大星 🌟很喜欢的电机楼的爬山虎墙🍃曾经每日奔赴上课的正心楼🏢和大学四年待了最久的图书馆🏫我❤️HIT   哈尔滨·哈尔滨工业大学 
